QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5,VOTEGEN_POST_W78,covid_misinfo_belief,trump_vote
104272.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,Some College,0.4203502638784138,"Joe Biden, the Democrat",0.0,0.0
104368.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,0.9251341397117075,"Donald Trump, the Republican",0.0,1.0
104491.0,None at all,Not sure,Dem/Lean Dem,Very liberal,65+,Some College,0.862196825205366,"Joe Biden, the Democrat",,0.0
104689.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,0.7354763365566135,"Joe Biden, the Democrat",0.0,0.0
104727.0,Some,Doesn’t really exist,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,3.9719239479826847,"Donald Trump, the Republican",1.0,1.0
104937.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3547698801388691,"Joe Biden, the Democrat",0.0,0.0
105124.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.2532441664265915,"Donald Trump, the Republican",0.0,1.0
105269.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,65+,College graduate+,0.227483968598657,"Joe Biden, the Democrat",1.0,0.0
105959.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2326032419849029,"Joe Biden, the Democrat",0.0,0.0
106068.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.2908882789563022,"Howie Hawkins, the Green Party candidate",0.0,
106180.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,0.6385677371305429,"Donald Trump, the Republican",1.0,1.0
106444.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3563115169619729,"Joe Biden, the Democrat",0.0,0.0
106590.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3061391863352165,"Donald Trump, the Republican",1.0,1.0
106885.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2590863573469312,"Donald Trump, the Republican",1.0,1.0
107023.0,Refused,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.484553323170196,"Joe Biden, the Democrat",,0.0
107329.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.8266931182745314,"Joe Biden, the Democrat",0.0,0.0
107668.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5699897433746057,"Donald Trump, the Republican",,1.0
108035.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,1.2520316948966994,"Donald Trump, the Republican",0.0,1.0
108169.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.3212710480865361,"Joe Biden, the Democrat",0.0,0.0
108348.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,0.8334178876462494,"Donald Trump, the Republican",1.0,1.0
108592.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.4920205140087274,"Joe Biden, the Democrat",0.0,0.0
108909.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,H.S. graduate or less,2.0791480117603145,,0.0,
109143.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,H.S. graduate or less,0.8311042520802329,"Donald Trump, the Republican",0.0,1.0
109188.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3889894681791227,"Joe Biden, the Democrat",0.0,0.0
110041.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.561078032636311,"Donald Trump, the Republican",0.0,1.0
110129.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.4578481607678901,"Donald Trump, the Republican",0.0,1.0
110361.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2228900847276511,"Joe Biden, the Democrat",0.0,0.0
110550.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.2173987388623741,"Donald Trump, the Republican",0.0,1.0
111646.0,Refused,Refused,Dem/Lean Dem,Moderate,65+,College graduate+,0.3125237762318419,"Joe Biden, the Democrat",,0.0
112238.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.087684332290775,"Donald Trump, the Republican",0.0,1.0
112371.0,A lot,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,0.2559718690875267,"Donald Trump, the Republican",,1.0
112495.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2071585362363679,"Joe Biden, the Democrat",0.0,0.0
112517.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.2825132295672791,"Donald Trump, the Republican",0.0,1.0
112613.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.4280546019381889,"Donald Trump, the Republican",0.0,1.0
112715.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2108609792402131,"Joe Biden, the Democrat",0.0,0.0
112984.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.5161741860873796,"Joe Biden, the Democrat",0.0,0.0
113248.0,Not much,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.3551661769493011,"Joe Biden, the Democrat",0.0,0.0
113274.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.8395843375873243,"Joe Biden, the Democrat",0.0,0.0
113412.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,65+,Some College,1.1910849790118874,"Donald Trump, the Republican",1.0,1.0
113565.0,Some,Came about naturally,Dem/Lean Dem,Conservative,50-64,Some College,0.8954063193997979,"Donald Trump, the Republican",0.0,1.0
114190.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3563115169619729,"Joe Biden, the Democrat",0.0,0.0
114473.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.5626525845257144,"Donald Trump, the Republican",0.0,1.0
114671.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.2559752922890272,"Donald Trump, the Republican",0.0,1.0
114797.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,College graduate+,0.2868139379704679,"Joe Biden, the Democrat",,0.0
114898.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.4905501886033431,"Donald Trump, the Republican",0.0,1.0
115295.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,1.0599825082336976,"Donald Trump, the Republican",1.0,1.0
115546.0,Some,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,1.3054245667601012,"Donald Trump, the Republican",0.0,1.0
115568.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.3636416507554866,"Joe Biden, the Democrat",0.0,0.0
115650.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.2310279141582244,Another candidate,0.0,
115973.0,Some,Not sure,Dem/Lean Dem,Very liberal,65+,College graduate+,0.3563115169619729,"Joe Biden, the Democrat",,0.0
116151.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,1.2109932224284354,"Donald Trump, the Republican",,1.0
116182.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.0382563102063362,"Donald Trump, the Republican",,1.0
116264.0,Some,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.9497353479147848,,,
116439.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3192763252864371,"Donald Trump, the Republican",0.0,1.0
116617.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2260969705639315,"Joe Biden, the Democrat",0.0,0.0
116861.0,Some,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.317264943657635,"Donald Trump, the Republican",,1.0
116998.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,1.046294796384659,"Joe Biden, the Democrat",0.0,0.0
117214.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,1.23320794073914,"Joe Biden, the Democrat",0.0,0.0
117395.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3170077371195459,"Joe Biden, the Democrat",0.0,0.0
118060.0,None at all,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.7146041181199958,"Donald Trump, the Republican",,1.0
118110.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.114896958342298,"Joe Biden, the Democrat",,0.0
118414.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,2.926795385556735,"Donald Trump, the Republican",0.0,1.0
118847.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.6413499780877429,"Joe Biden, the Democrat",0.0,0.0
118888.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.731697566812459,"Joe Biden, the Democrat",0.0,0.0
119121.0,Not much,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.5243895491899507,"Joe Biden, the Democrat",,0.0
119128.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.317264943657635,"Donald Trump, the Republican",0.0,1.0
119392.0,None at all,Not sure,Rep/Lean Rep,Moderate,18-29,H.S. graduate or less,7.487621221765812,"Donald Trump, the Republican",,1.0
119548.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,1.2142269986277925,"Donald Trump, the Republican",0.0,1.0
119714.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.3216357798181609,"Joe Biden, the Democrat",0.0,0.0
120118.0,Some,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,0.6281505557403889,"Donald Trump, the Republican",0.0,1.0
120343.0,None at all,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.6230562611081911,"Donald Trump, the Republican",,1.0
120521.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.20313757190989,"Joe Biden, the Democrat",0.0,0.0
120873.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2709017048040155,"Joe Biden, the Democrat",0.0,0.0
121158.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.4280546019381889,"Donald Trump, the Republican",,1.0
121582.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,1.8759621530559352,"Donald Trump, the Republican",1.0,1.0
121882.0,Not much,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2559752922890272,"Donald Trump, the Republican",0.0,1.0
122020.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2307862074979803,"Joe Biden, the Democrat",0.0,0.0
122033.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.3664627353145702,"Joe Biden, the Democrat",,0.0
122234.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.8287624205320122,"Joe Biden, the Democrat",0.0,0.0
122466.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.287185005972092,"Donald Trump, the Republican",0.0,1.0
122503.0,A lot,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.0784452146309837,"Joe Biden, the Democrat",0.0,0.0
123191.0,A lot,Not sure,Dem/Lean Dem,Liberal,65+,College graduate+,0.3547698801388691,"Joe Biden, the Democrat",,0.0
123778.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.4466159583153101,"Joe Biden, the Democrat",0.0,0.0
124032.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,1.223323093074442,"Donald Trump, the Republican",0.0,1.0
124264.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.3378303764398093,"Joe Biden, the Democrat",0.0,0.0
124561.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4118632994549787,"Joe Biden, the Democrat",0.0,0.0
124598.0,A lot,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.4678696184840074,"Donald Trump, the Republican",,1.0
125280.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,1.1881345080123378,"Joe Biden, the Democrat",0.0,0.0
125444.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.4250415034996372,"Joe Biden, the Democrat",0.0,0.0
125496.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.2326032419849029,"Joe Biden, the Democrat",0.0,0.0
125976.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.1665877413555718,"Joe Biden, the Democrat",0.0,0.0
126131.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.227483968598657,"Joe Biden, the Democrat",0.0,0.0
126190.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2911490457684703,"Joe Biden, the Democrat",0.0,0.0
126211.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,2.2666759986802476,"Donald Trump, the Republican",1.0,1.0
126380.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.4184476512483072,"Joe Biden, the Democrat",0.0,0.0
126570.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,H.S. graduate or less,2.0504723917299423,,1.0,
127284.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,Some College,0.8728240632307182,"Joe Biden, the Democrat",1.0,0.0
127498.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.661648515518476,,0.0,
128285.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.7201335047863648,"Joe Biden, the Democrat",0.0,0.0
128558.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,5.0982429923302695,"Donald Trump, the Republican",,1.0
129046.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.6665541827663765,"Donald Trump, the Republican",1.0,1.0
129189.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.4280546019381889,"Donald Trump, the Republican",1.0,1.0
130022.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.2444544525342186,"Joe Biden, the Democrat",0.0,0.0
130287.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.5803723633964334,"Joe Biden, the Democrat",0.0,0.0
130571.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.3109262689363723,"Donald Trump, the Republican",1.0,1.0
130781.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2747225254323155,"Joe Biden, the Democrat",0.0,0.0
130889.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.731697566812459,"Joe Biden, the Democrat",0.0,0.0
131599.0,A lot,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.322261998860181,"Donald Trump, the Republican",,1.0
131786.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.6072777313470379,"Donald Trump, the Republican",0.0,1.0
132146.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,Some College,0.6324314438059461,"Donald Trump, the Republican",0.0,1.0
132240.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.4042540597707003,"Donald Trump, the Republican",0.0,1.0
132246.0,A lot,Was developed intentionally in a lab,DK/Refused/No lean,Conservative,65+,Some College,0.7819014839104875,"Donald Trump, the Republican",1.0,1.0
132264.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3889894681791227,"Joe Biden, the Democrat",0.0,0.0
132478.0,Not much,Was made accidentally in a lab,Dem/Lean Dem,Liberal,65+,Some College,1.1325281643914051,"Joe Biden, the Democrat",,0.0
132489.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.62526829337726,"Joe Biden, the Democrat",0.0,0.0
132973.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.2567634726831396,"Joe Biden, the Democrat",0.0,0.0
133114.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2228900847276511,"Joe Biden, the Democrat",0.0,0.0
133435.0,Not much,Not sure,DK/Refused/No lean,Conservative,65+,H.S. graduate or less,3.4680155651724043,"Donald Trump, the Republican",,1.0
133550.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,1.0098962843464871,"Joe Biden, the Democrat",0.0,0.0
133700.0,None at all,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,0.8346181670815003,"Donald Trump, the Republican",,1.0
133889.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2597747937323112,"Joe Biden, the Democrat",0.0,0.0
133978.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.4042540597707003,"Donald Trump, the Republican",0.0,1.0
135146.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.2547848262475639,"Donald Trump, the Republican",,1.0
135317.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.1695263491136332,"Joe Biden, the Democrat",0.0,0.0
135459.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.1665877413555718,"Joe Biden, the Democrat",0.0,0.0
135706.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3563115169619729,"Joe Biden, the Democrat",0.0,0.0
135751.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4645444447458018,"Joe Biden, the Democrat",0.0,0.0
135822.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,H.S. graduate or less,1.2051646930875668,"Donald Trump, the Republican",1.0,1.0
136015.0,None at all,Refused,Rep/Lean Rep,Conservative,65+,College graduate+,0.4382791325939977,"Donald Trump, the Republican",,1.0
136046.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2747225254323155,"Joe Biden, the Democrat",0.0,0.0
136316.0,Not much,Not sure,Rep/Lean Rep,Moderate,65+,Some College,1.0039170545609697,"Donald Trump, the Republican",,1.0
136411.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5052504561221298,"Donald Trump, the Republican",1.0,1.0
136999.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,0.4016104922175272,"Donald Trump, the Republican",,1.0
137139.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2597747937323112,"Joe Biden, the Democrat",0.0,0.0
138105.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.4464845165998981,"Joe Biden, the Democrat",0.0,0.0
139467.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,Some College,0.4550438158965828,"Donald Trump, the Republican",,1.0
139905.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3288780256279453,"Joe Biden, the Democrat",0.0,0.0
140444.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.1893085756976408,"Joe Biden, the Democrat",0.0,0.0
140544.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3547698801388691,"Joe Biden, the Democrat",0.0,0.0
140639.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.497122883305049,"Joe Biden, the Democrat",0.0,0.0
141319.0,None at all,Not sure,Dem/Lean Dem,Very liberal,30-49,H.S. graduate or less,4.871524494492985,"Joe Biden, the Democrat",,0.0
141471.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.4728974116290382,"Joe Biden, the Democrat",0.0,0.0
141804.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.1717810671672039,"Joe Biden, the Democrat",0.0,0.0
141878.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.5133480775464817,"Donald Trump, the Republican",0.0,1.0
142360.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.4022411474204947,"Joe Biden, the Democrat",0.0,0.0
142398.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.4094636195140061,"Joe Biden, the Democrat",0.0,0.0
142447.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5807799711833336,"Joe Biden, the Democrat",0.0,0.0
142838.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3170077371195459,"Joe Biden, the Democrat",0.0,0.0
143122.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,Some College,0.8409321022513915,"Joe Biden, the Democrat",0.0,0.0
143915.0,None at all,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,1.5249941457586995,"Donald Trump, the Republican",,1.0
144036.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,2.3790982554463516,"Donald Trump, the Republican",1.0,1.0
144429.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,1.0356267595331767,"Donald Trump, the Republican",0.0,1.0
144736.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.4094636195140061,"Joe Biden, the Democrat",0.0,0.0
145364.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.8467593420033126,"Donald Trump, the Republican",0.0,1.0
145447.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3799503165840621,"Joe Biden, the Democrat",0.0,0.0
145887.0,None at all,Was developed intentionally in a lab,DK/Refused/No lean,Conservative,65+,College graduate+,0.3896739745225616,"Donald Trump, the Republican",1.0,1.0
146062.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.4473224255357685,"Joe Biden, the Democrat",0.0,0.0
146434.0,Some,Came about naturally,Rep/Lean Rep,Refused,65+,H.S. graduate or less,2.5261792149779696,"Donald Trump, the Republican",0.0,1.0
146637.0,A lot,Not sure,Dem/Lean Dem,Very liberal,50-64,Some College,0.9281094596989944,"Joe Biden, the Democrat",,0.0
146784.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,Some College,1.0395451444270545,"Donald Trump, the Republican",0.0,1.0
147316.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Conservative,30-49,College graduate+,0.2455127281353521,"Jo Jorgensen, the Libertarian Party candidate",1.0,
147654.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.311355227513849,"Joe Biden, the Democrat",0.0,0.0
147763.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.5496247060037951,"Joe Biden, the Democrat",0.0,0.0
149522.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.1665877413555718,"Joe Biden, the Democrat",0.0,0.0
149866.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,Some College,1.0299325394221095,"Donald Trump, the Republican",,1.0
150197.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,0.9673287432164014,"Donald Trump, the Republican",1.0,1.0
150381.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2326032419849029,"Joe Biden, the Democrat",0.0,0.0
150788.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2601583936831742,"Joe Biden, the Democrat",0.0,0.0
151130.0,Not much,Was developed intentionally in a lab,DK/Refused/No lean,Moderate,65+,College graduate+,0.5266170804726134,"Joe Biden, the Democrat",1.0,0.0
151972.0,None at all,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2547848262475639,"Donald Trump, the Republican",0.0,1.0
152324.0,Not much,Refused,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3590266223903537,"Joe Biden, the Democrat",,0.0
152538.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.2747225254323155,"Joe Biden, the Democrat",0.0,0.0
152916.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.6567529151301014,"Joe Biden, the Democrat",0.0,0.0
153346.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.3494595227274385,"Donald Trump, the Republican",0.0,1.0
153391.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.1725148900178126,"Joe Biden, the Democrat",0.0,0.0
154072.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,1.1388841552166906,"Howie Hawkins, the Green Party candidate",0.0,
