QKEY,VOTEGEN_POST_W78
129189.0,"Donald Trump, the Republican"
130022.0,"Joe Biden, the Democrat"
130287.0,"Joe Biden, the Democrat"
130571.0,"Donald Trump, the Republican"
130781.0,"Joe Biden, the Democrat"
130889.0,"Joe Biden, the Democrat"
131599.0,"Donald Trump, the Republican"
131786.0,"Donald Trump, the Republican"
132146.0,"Donald Trump, the Republican"
132240.0,"Donald Trump, the Republican"
132246.0,"Donald Trump, the Republican"
132264.0,"Joe Biden, the Democrat"
132478.0,"Joe Biden, the Democrat"
132489.0,"Joe Biden, the Democrat"
132973.0,"Joe Biden, the Democrat"
133114.0,"Joe Biden, the Democrat"
133435.0,"Donald Trump, the Republican"
133550.0,"Joe Biden, the Democrat"
133700.0,"Donald Trump, the Republican"
133889.0,"Joe Biden, the Democrat"
133978.0,"Donald Trump, the Republican"
135146.0,"Donald Trump, the Republican"
135184.0,"Donald Trump, the Republican"
135317.0,"Joe Biden, the Democrat"
135459.0,"Joe Biden, the Democrat"
135706.0,"Joe Biden, the Democrat"
135751.0,"Joe Biden, the Democrat"
135822.0,"Donald Trump, the Republican"
136015.0,"Donald Trump, the Republican"
136046.0,"Joe Biden, the Democrat"
136316.0,"Donald Trump, the Republican"
136411.0,"Donald Trump, the Republican"
136999.0,"Donald Trump, the Republican"
137139.0,"Joe Biden, the Democrat"
138105.0,"Joe Biden, the Democrat"
138239.0,"Joe Biden, the Democrat"
138284.0,"Donald Trump, the Republican"
139134.0,"Donald Trump, the Republican"
139467.0,"Donald Trump, the Republican"
139905.0,"Joe Biden, the Democrat"
140444.0,"Joe Biden, the Democrat"
140544.0,"Joe Biden, the Democrat"
140639.0,"Joe Biden, the Democrat"
141319.0,"Joe Biden, the Democrat"
141442.0,"Donald Trump, the Republican"
141471.0,"Joe Biden, the Democrat"
141804.0,"Joe Biden, the Democrat"
141878.0,"Donald Trump, the Republican"
142360.0,"Joe Biden, the Democrat"
142398.0,"Joe Biden, the Democrat"
142447.0,"Joe Biden, the Democrat"
142838.0,"Joe Biden, the Democrat"
143122.0,"Joe Biden, the Democrat"
143511.0,"Joe Biden, the Democrat"
143915.0,"Donald Trump, the Republican"
144036.0,"Donald Trump, the Republican"
144120.0,"Joe Biden, the Democrat"
144429.0,"Donald Trump, the Republican"
144736.0,"Joe Biden, the Democrat"
145304.0,"Joe Biden, the Democrat"
145364.0,"Donald Trump, the Republican"
145447.0,"Joe Biden, the Democrat"
145887.0,"Donald Trump, the Republican"
146062.0,"Joe Biden, the Democrat"
146170.0,"Donald Trump, the Republican"
146434.0,"Donald Trump, the Republican"
146637.0,"Joe Biden, the Democrat"
146784.0,"Donald Trump, the Republican"
146878.0,"Joe Biden, the Democrat"
147316.0,"Jo Jorgensen, the Libertarian Party candidate"
147654.0,"Joe Biden, the Democrat"
147763.0,"Joe Biden, the Democrat"
148162.0,"Donald Trump, the Republican"
149522.0,"Joe Biden, the Democrat"
149866.0,"Donald Trump, the Republican"
150084.0,"Joe Biden, the Democrat"
150197.0,"Donald Trump, the Republican"
150381.0,"Joe Biden, the Democrat"
150788.0,"Joe Biden, the Democrat"
151130.0,"Joe Biden, the Democrat"
151850.0,"Joe Biden, the Democrat"
151929.0,"Donald Trump, the Republican"
151972.0,"Donald Trump, the Republican"
152324.0,"Joe Biden, the Democrat"
152538.0,"Joe Biden, the Democrat"
152916.0,"Joe Biden, the Democrat"
152957.0,"Joe Biden, the Democrat"
153346.0,"Donald Trump, the Republican"
153391.0,"Joe Biden, the Democrat"
153863.0,"Joe Biden, the Democrat"
154072.0,"Howie Hawkins, the Green Party candidate"
154578.0,"Donald Trump, the Republican"
154730.0,"Donald Trump, the Republican"
154750.0,"Donald Trump, the Republican"
154874.0,"Donald Trump, the Republican"
154948.0,"Joe Biden, the Democrat"
155329.0,"Joe Biden, the Democrat"
155464.0,
155606.0,"Donald Trump, the Republican"
155832.0,"Donald Trump, the Republican"
155900.0,"Joe Biden, the Democrat"
156200.0,"Joe Biden, the Democrat"
156233.0,"Joe Biden, the Democrat"
156615.0,"Joe Biden, the Democrat"
156660.0,"Joe Biden, the Democrat"
157348.0,"Joe Biden, the Democrat"
157570.0,"Joe Biden, the Democrat"
157877.0,"Donald Trump, the Republican"
158144.0,"Joe Biden, the Democrat"
158193.0,"Joe Biden, the Democrat"
158469.0,"Joe Biden, the Democrat"
159075.0,
159216.0,Another candidate
159562.0,"Donald Trump, the Republican"
159674.0,"Joe Biden, the Democrat"
159828.0,
159997.0,"Donald Trump, the Republican"
160170.0,"Donald Trump, the Republican"
160193.0,"Donald Trump, the Republican"
160394.0,"Joe Biden, the Democrat"
161130.0,"Donald Trump, the Republican"
161742.0,"Donald Trump, the Republican"
162028.0,"Joe Biden, the Democrat"
162119.0,"Donald Trump, the Republican"
162341.0,"Donald Trump, the Republican"
162517.0,"Joe Biden, the Democrat"
164283.0,"Joe Biden, the Democrat"
164425.0,"Joe Biden, the Democrat"
165452.0,"Joe Biden, the Democrat"
166167.0,"Joe Biden, the Democrat"
166301.0,"Joe Biden, the Democrat"
166712.0,"Joe Biden, the Democrat"
167094.0,"Donald Trump, the Republican"
167110.0,"Donald Trump, the Republican"
167866.0,"Joe Biden, the Democrat"
168336.0,"Joe Biden, the Democrat"
169135.0,"Donald Trump, the Republican"
169249.0,"Joe Biden, the Democrat"
169864.0,"Donald Trump, the Republican"
170940.0,"Donald Trump, the Republican"
171076.0,"Joe Biden, the Democrat"
171099.0,"Joe Biden, the Democrat"
171264.0,"Joe Biden, the Democrat"
172231.0,"Donald Trump, the Republican"
174032.0,"Donald Trump, the Republican"
175192.0,"Donald Trump, the Republican"
175363.0,"Donald Trump, the Republican"
175884.0,"Joe Biden, the Democrat"
176214.0,"Joe Biden, the Democrat"
176680.0,"Donald Trump, the Republican"
176709.0,"Donald Trump, the Republican"
176824.0,"Donald Trump, the Republican"
176868.0,"Joe Biden, the Democrat"
176890.0,"Donald Trump, the Republican"
176940.0,"Joe Biden, the Democrat"
177211.0,"Joe Biden, the Democrat"
177572.0,"Joe Biden, the Democrat"
177818.0,Another candidate
178470.0,"Joe Biden, the Democrat"
178592.0,"Joe Biden, the Democrat"
179144.0,"Joe Biden, the Democrat"
179396.0,"Joe Biden, the Democrat"
179513.0,"Joe Biden, the Democrat"
179522.0,"Joe Biden, the Democrat"
179691.0,"Donald Trump, the Republican"
179909.0,"Joe Biden, the Democrat"
179979.0,"Donald Trump, the Republican"
180286.0,"Donald Trump, the Republican"
181067.0,"Joe Biden, the Democrat"
181573.0,
181689.0,"Joe Biden, the Democrat"
181690.0,"Donald Trump, the Republican"
182775.0,"Joe Biden, the Democrat"
182804.0,"Joe Biden, the Democrat"
182998.0,"Joe Biden, the Democrat"
183145.0,"Donald Trump, the Republican"
184045.0,"Joe Biden, the Democrat"
184735.0,"Donald Trump, the Republican"
185008.0,"Donald Trump, the Republican"
185159.0,"Joe Biden, the Democrat"
185293.0,"Donald Trump, the Republican"
185394.0,"Joe Biden, the Democrat"
185416.0,"Donald Trump, the Republican"
185944.0,"Joe Biden, the Democrat"
186170.0,"Donald Trump, the Republican"
186444.0,"Donald Trump, the Republican"
186902.0,"Joe Biden, the Democrat"
187312.0,"Joe Biden, the Democrat"
187635.0,"Joe Biden, the Democrat"
188109.0,"Joe Biden, the Democrat"
188245.0,"Joe Biden, the Democrat"
188340.0,"Donald Trump, the Republican"
188516.0,"Donald Trump, the Republican"
189053.0,
189213.0,"Joe Biden, the Democrat"
189589.0,"Joe Biden, the Democrat"
190519.0,"Joe Biden, the Democrat"
190780.0,"Joe Biden, the Democrat"
190961.0,"Donald Trump, the Republican"
191032.0,"Joe Biden, the Democrat"
191063.0,"Donald Trump, the Republican"
191081.0,"Donald Trump, the Republican"
191261.0,"Joe Biden, the Democrat"
191336.0,"Joe Biden, the Democrat"
191583.0,"Joe Biden, the Democrat"
192213.0,"Donald Trump, the Republican"
192294.0,
192396.0,"Donald Trump, the Republican"
192474.0,"Donald Trump, the Republican"
192568.0,"Donald Trump, the Republican"
192753.0,"Donald Trump, the Republican"
192798.0,"Donald Trump, the Republican"
192950.0,"Donald Trump, the Republican"
193343.0,"Jo Jorgensen, the Libertarian Party candidate"
193408.0,
193466.0,"Joe Biden, the Democrat"
193713.0,"Joe Biden, the Democrat"
194068.0,"Donald Trump, the Republican"
194284.0,"Donald Trump, the Republican"
194490.0,"Joe Biden, the Democrat"
194634.0,"Joe Biden, the Democrat"
194718.0,"Donald Trump, the Republican"
194860.0,"Joe Biden, the Democrat"
195349.0,"Donald Trump, the Republican"
195373.0,"Donald Trump, the Republican"
195400.0,"Donald Trump, the Republican"
196107.0,"Donald Trump, the Republican"
196610.0,"Joe Biden, the Democrat"
196813.0,"Joe Biden, the Democrat"
197067.0,"Donald Trump, the Republican"
197087.0,"Donald Trump, the Republican"
197168.0,"Joe Biden, the Democrat"
197174.0,"Donald Trump, the Republican"
197397.0,"Donald Trump, the Republican"
197520.0,"Joe Biden, the Democrat"
197580.0,"Joe Biden, the Democrat"
197934.0,"Donald Trump, the Republican"
198176.0,"Joe Biden, the Democrat"
198205.0,"Donald Trump, the Republican"
198208.0,"Donald Trump, the Republican"
198295.0,"Joe Biden, the Democrat"
198449.0,"Joe Biden, the Democrat"
198476.0,"Joe Biden, the Democrat"
198571.0,"Joe Biden, the Democrat"
198718.0,"Donald Trump, the Republican"
198848.0,"Donald Trump, the Republican"
198946.0,"Donald Trump, the Republican"
199454.0,"Donald Trump, the Republican"
199474.0,"Donald Trump, the Republican"
199510.0,"Donald Trump, the Republican"
199964.0,"Donald Trump, the Republican"
200202.0,"Joe Biden, the Democrat"
200312.0,"Donald Trump, the Republican"
200452.0,"Joe Biden, the Democrat"
200718.0,"Joe Biden, the Democrat"
200761.0,"Joe Biden, the Democrat"
200782.0,"Joe Biden, the Democrat"
200943.0,"Donald Trump, the Republican"
201095.0,
201177.0,"Donald Trump, the Republican"
201541.0,"Donald Trump, the Republican"
202145.0,"Joe Biden, the Democrat"
202467.0,"Donald Trump, the Republican"
202545.0,"Donald Trump, the Republican"
202548.0,"Joe Biden, the Democrat"
202784.0,"Joe Biden, the Democrat"
202849.0,"Joe Biden, the Democrat"
202908.0,"Joe Biden, the Democrat"
203133.0,"Joe Biden, the Democrat"
203464.0,"Joe Biden, the Democrat"
203469.0,"Joe Biden, the Democrat"
203617.0,"Joe Biden, the Democrat"
203921.0,"Donald Trump, the Republican"
204164.0,"Joe Biden, the Democrat"
204329.0,"Joe Biden, the Democrat"
204354.0,"Donald Trump, the Republican"
204601.0,"Donald Trump, the Republican"
204832.0,"Donald Trump, the Republican"
205136.0,"Joe Biden, the Democrat"
205459.0,"Donald Trump, the Republican"
205490.0,"Joe Biden, the Democrat"
205566.0,"Joe Biden, the Democrat"
205600.0,"Joe Biden, the Democrat"
206457.0,"Donald Trump, the Republican"
207436.0,"Joe Biden, the Democrat"
207452.0,"Donald Trump, the Republican"
207502.0,"Joe Biden, the Democrat"
207573.0,"Donald Trump, the Republican"
207606.0,"Joe Biden, the Democrat"
208237.0,"Joe Biden, the Democrat"
208492.0,"Joe Biden, the Democrat"
208695.0,"Donald Trump, the Republican"
209123.0,
209250.0,"Joe Biden, the Democrat"
209440.0,"Donald Trump, the Republican"
209589.0,"Donald Trump, the Republican"
209937.0,"Joe Biden, the Democrat"
210108.0,"Joe Biden, the Democrat"
210121.0,"Joe Biden, the Democrat"
210306.0,"Joe Biden, the Democrat"
210564.0,"Joe Biden, the Democrat"
210743.0,"Donald Trump, the Republican"
210776.0,"Joe Biden, the Democrat"
211074.0,"Donald Trump, the Republican"
211125.0,"Donald Trump, the Republican"
211378.0,"Joe Biden, the Democrat"
211504.0,"Donald Trump, the Republican"
211788.0,"Joe Biden, the Democrat"
212111.0,"Donald Trump, the Republican"
212131.0,"Donald Trump, the Republican"
212322.0,"Donald Trump, the Republican"
212492.0,"Joe Biden, the Democrat"
212680.0,"Donald Trump, the Republican"
213161.0,"Donald Trump, the Republican"
213456.0,"Donald Trump, the Republican"
213541.0,"Donald Trump, the Republican"
213671.0,
213817.0,"Joe Biden, the Democrat"
214437.0,"Donald Trump, the Republican"
214495.0,"Joe Biden, the Democrat"
214562.0,"Joe Biden, the Democrat"
214778.0,"Donald Trump, the Republican"
214898.0,"Donald Trump, the Republican"
215767.0,"Joe Biden, the Democrat"
216110.0,Refused
216153.0,"Joe Biden, the Democrat"
216156.0,"Donald Trump, the Republican"
216528.0,"Joe Biden, the Democrat"
217659.0,"Joe Biden, the Democrat"
218055.0,"Joe Biden, the Democrat"
218205.0,"Joe Biden, the Democrat"
218459.0,
218656.0,"Donald Trump, the Republican"
218719.0,"Joe Biden, the Democrat"
218837.0,"Joe Biden, the Democrat"
219150.0,"Donald Trump, the Republican"
219223.0,"Donald Trump, the Republican"
219306.0,"Donald Trump, the Republican"
219679.0,"Donald Trump, the Republican"
219998.0,"Joe Biden, the Democrat"
220020.0,"Joe Biden, the Democrat"
220395.0,"Joe Biden, the Democrat"
221186.0,"Joe Biden, the Democrat"
221448.0,"Donald Trump, the Republican"
222354.0,"Joe Biden, the Democrat"
222755.0,"Joe Biden, the Democrat"
223028.0,"Joe Biden, the Democrat"
223061.0,
223257.0,
223496.0,"Donald Trump, the Republican"
224561.0,"Joe Biden, the Democrat"
224776.0,"Joe Biden, the Democrat"
224870.0,"Howie Hawkins, the Green Party candidate"
225476.0,"Donald Trump, the Republican"
225546.0,"Joe Biden, the Democrat"
226237.0,"Joe Biden, the Democrat"
226560.0,"Joe Biden, the Democrat"
226903.0,"Donald Trump, the Republican"
227099.0,"Donald Trump, the Republican"
227278.0,"Donald Trump, the Republican"
227443.0,Refused
227551.0,"Joe Biden, the Democrat"
227805.0,"Joe Biden, the Democrat"
227892.0,"Donald Trump, the Republican"
228400.0,"Donald Trump, the Republican"
228761.0,"Donald Trump, the Republican"
228797.0,"Donald Trump, the Republican"
229101.0,"Joe Biden, the Democrat"
229423.0,"Joe Biden, the Democrat"
229457.0,"Donald Trump, the Republican"
229561.0,"Donald Trump, the Republican"
230027.0,"Donald Trump, the Republican"
230098.0,"Joe Biden, the Democrat"
230582.0,"Joe Biden, the Democrat"
230587.0,
230613.0,"Donald Trump, the Republican"
230747.0,"Joe Biden, the Democrat"
230801.0,"Donald Trump, the Republican"
230983.0,"Joe Biden, the Democrat"
231013.0,"Joe Biden, the Democrat"
231073.0,"Joe Biden, the Democrat"
232131.0,"Donald Trump, the Republican"
232685.0,"Joe Biden, the Democrat"
232753.0,"Joe Biden, the Democrat"
233296.0,
233755.0,"Joe Biden, the Democrat"
234001.0,"Donald Trump, the Republican"
234064.0,"Joe Biden, the Democrat"
234462.0,"Donald Trump, the Republican"
234741.0,"Donald Trump, the Republican"
234783.0,"Donald Trump, the Republican"
234834.0,"Joe Biden, the Democrat"
234858.0,"Joe Biden, the Democrat"
235086.0,"Donald Trump, the Republican"
235304.0,"Donald Trump, the Republican"
235397.0,"Joe Biden, the Democrat"
235578.0,"Donald Trump, the Republican"
235880.0,"Joe Biden, the Democrat"
236140.0,"Joe Biden, the Democrat"
236237.0,"Donald Trump, the Republican"
236265.0,"Joe Biden, the Democrat"
236370.0,"Donald Trump, the Republican"
236617.0,"Donald Trump, the Republican"
237091.0,"Donald Trump, the Republican"
237367.0,"Joe Biden, the Democrat"
238002.0,"Donald Trump, the Republican"
238030.0,"Joe Biden, the Democrat"
238140.0,"Donald Trump, the Republican"
238467.0,"Joe Biden, the Democrat"
238619.0,"Donald Trump, the Republican"
238840.0,"Donald Trump, the Republican"
239009.0,"Joe Biden, the Democrat"
239268.0,"Joe Biden, the Democrat"
239297.0,"Joe Biden, the Democrat"
239382.0,"Joe Biden, the Democrat"
239985.0,"Jo Jorgensen, the Libertarian Party candidate"
240597.0,"Donald Trump, the Republican"
240975.0,"Joe Biden, the Democrat"
241537.0,"Donald Trump, the Republican"
242029.0,"Joe Biden, the Democrat"
243060.0,"Donald Trump, the Republican"
243238.0,"Joe Biden, the Democrat"
243353.0,"Donald Trump, the Republican"
243528.0,"Joe Biden, the Democrat"
244081.0,"Joe Biden, the Democrat"
244331.0,"Donald Trump, the Republican"
244937.0,"Joe Biden, the Democrat"
245684.0,"Donald Trump, the Republican"
245863.0,"Donald Trump, the Republican"
246335.0,"Joe Biden, the Democrat"
246537.0,"Donald Trump, the Republican"
247321.0,"Donald Trump, the Republican"
247860.0,"Donald Trump, the Republican"
247938.0,"Joe Biden, the Democrat"
248990.0,"Joe Biden, the Democrat"
248996.0,"Donald Trump, the Republican"
249540.0,"Donald Trump, the Republican"
274112.0,
274171.0,"Donald Trump, the Republican"
274495.0,"Donald Trump, the Republican"
274797.0,"Joe Biden, the Democrat"
274822.0,"Donald Trump, the Republican"
274825.0,"Joe Biden, the Democrat"
275824.0,"Joe Biden, the Democrat"
276046.0,"Donald Trump, the Republican"
276243.0,"Donald Trump, the Republican"
276645.0,
277314.0,"Donald Trump, the Republican"
278114.0,
279051.0,"Donald Trump, the Republican"
279292.0,"Donald Trump, the Republican"
279742.0,"Joe Biden, the Democrat"
279766.0,"Donald Trump, the Republican"
279894.0,"Joe Biden, the Democrat"
280034.0,"Joe Biden, the Democrat"
280165.0,"Donald Trump, the Republican"
280651.0,"Donald Trump, the Republican"
280823.0,"Donald Trump, the Republican"
280916.0,"Donald Trump, the Republican"
281021.0,"Joe Biden, the Democrat"
281163.0,"Donald Trump, the Republican"
281338.0,"Donald Trump, the Republican"
281372.0,"Donald Trump, the Republican"
281718.0,"Joe Biden, the Democrat"
281929.0,"Joe Biden, the Democrat"
281944.0,"Donald Trump, the Republican"
281969.0,"Joe Biden, the Democrat"
282245.0,"Joe Biden, the Democrat"
282337.0,"Joe Biden, the Democrat"
282372.0,"Joe Biden, the Democrat"
282561.0,"Donald Trump, the Republican"
282770.0,"Joe Biden, the Democrat"
283820.0,"Donald Trump, the Republican"
283850.0,
283898.0,"Joe Biden, the Democrat"
283988.0,"Donald Trump, the Republican"
284304.0,"Donald Trump, the Republican"
284378.0,"Donald Trump, the Republican"
285174.0,"Donald Trump, the Republican"
285723.0,"Donald Trump, the Republican"
285944.0,"Joe Biden, the Democrat"
285953.0,"Joe Biden, the Democrat"
286082.0,
286168.0,"Donald Trump, the Republican"
286197.0,"Joe Biden, the Democrat"
286663.0,"Joe Biden, the Democrat"
287086.0,"Joe Biden, the Democrat"
287097.0,"Joe Biden, the Democrat"
287191.0,"Donald Trump, the Republican"
287366.0,"Donald Trump, the Republican"
287463.0,"Joe Biden, the Democrat"
288489.0,"Donald Trump, the Republican"
288802.0,"Jo Jorgensen, the Libertarian Party candidate"
288869.0,"Donald Trump, the Republican"
289200.0,"Joe Biden, the Democrat"
289390.0,"Donald Trump, the Republican"
289477.0,"Donald Trump, the Republican"
289868.0,"Joe Biden, the Democrat"
290087.0,"Donald Trump, the Republican"
291033.0,"Joe Biden, the Democrat"
291097.0,"Donald Trump, the Republican"
291347.0,"Joe Biden, the Democrat"
291468.0,"Donald Trump, the Republican"
291504.0,"Joe Biden, the Democrat"
291673.0,"Joe Biden, the Democrat"
291696.0,"Joe Biden, the Democrat"
292724.0,"Joe Biden, the Democrat"
292740.0,"Donald Trump, the Republican"
292849.0,"Joe Biden, the Democrat"
292854.0,"Jo Jorgensen, the Libertarian Party candidate"
292971.0,"Joe Biden, the Democrat"
293111.0,"Donald Trump, the Republican"
293203.0,"Joe Biden, the Democrat"
293322.0,"Joe Biden, the Democrat"
294176.0,"Donald Trump, the Republican"
294309.0,"Joe Biden, the Democrat"
294815.0,"Joe Biden, the Democrat"
294912.0,"Donald Trump, the Republican"
295064.0,"Donald Trump, the Republican"
295593.0,"Joe Biden, the Democrat"
295709.0,"Joe Biden, the Democrat"
295809.0,"Donald Trump, the Republican"
295841.0,"Donald Trump, the Republican"
295961.0,"Joe Biden, the Democrat"
296049.0,"Donald Trump, the Republican"
296062.0,"Joe Biden, the Democrat"
296159.0,"Joe Biden, the Democrat"
296630.0,"Donald Trump, the Republican"
296850.0,"Joe Biden, the Democrat"
296984.0,"Joe Biden, the Democrat"
297473.0,"Joe Biden, the Democrat"
297554.0,"Donald Trump, the Republican"
297915.0,"Joe Biden, the Democrat"
297972.0,"Joe Biden, the Democrat"
298035.0,"Donald Trump, the Republican"
298053.0,"Joe Biden, the Democrat"
298382.0,"Joe Biden, the Democrat"
298574.0,"Joe Biden, the Democrat"
298722.0,"Joe Biden, the Democrat"
299167.0,"Joe Biden, the Democrat"
299327.0,"Donald Trump, the Republican"
299517.0,"Joe Biden, the Democrat"
299519.0,"Donald Trump, the Republican"
299715.0,"Donald Trump, the Republican"
299862.0,"Donald Trump, the Republican"
300207.0,"Joe Biden, the Democrat"
300234.0,"Donald Trump, the Republican"
300536.0,
300603.0,"Joe Biden, the Democrat"
300660.0,"Donald Trump, the Republican"
300669.0,"Joe Biden, the Democrat"
300761.0,"Donald Trump, the Republican"
300955.0,"Joe Biden, the Democrat"
301013.0,"Donald Trump, the Republican"
301082.0,"Joe Biden, the Democrat"
301126.0,"Joe Biden, the Democrat"
301280.0,"Donald Trump, the Republican"
301613.0,"Joe Biden, the Democrat"
301706.0,"Donald Trump, the Republican"
301981.0,"Joe Biden, the Democrat"
302389.0,"Donald Trump, the Republican"
302693.0,"Joe Biden, the Democrat"
302745.0,"Donald Trump, the Republican"
302888.0,"Donald Trump, the Republican"
302919.0,"Donald Trump, the Republican"
303072.0,
303338.0,"Donald Trump, the Republican"
303646.0,"Joe Biden, the Democrat"
303648.0,"Joe Biden, the Democrat"
303653.0,"Joe Biden, the Democrat"
303834.0,"Donald Trump, the Republican"
304119.0,"Donald Trump, the Republican"
304251.0,
305076.0,"Joe Biden, the Democrat"
305120.0,"Joe Biden, the Democrat"
305771.0,"Donald Trump, the Republican"
305844.0,"Joe Biden, the Democrat"
306057.0,"Joe Biden, the Democrat"
306076.0,"Donald Trump, the Republican"
306109.0,"Joe Biden, the Democrat"
306115.0,"Joe Biden, the Democrat"
306151.0,"Joe Biden, the Democrat"
306192.0,"Donald Trump, the Republican"
306295.0,"Donald Trump, the Republican"
306597.0,"Donald Trump, the Republican"
