QKEY,COVIDMISINFO_W63.5,COVIDCREATE_W63.5,F_PARTYSUM_FINAL,F_IDEO,F_AGECAT,F_EDUCCAT,WEIGHT_W63.5
108592.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.4920205140087274
108909.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,H.S. graduate or less,2.0791480117603145
109143.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,H.S. graduate or less,0.8311042520802329
109188.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3889894681791227
110041.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.561078032636311
110129.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.4578481607678901
110261.0,A lot,Not sure,Dem/Lean Dem,Moderate,30-49,Some College,2.1844862721736225
110361.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2228900847276511
110550.0,None at all,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.2173987388623741
111646.0,Refused,Refused,Dem/Lean Dem,Moderate,65+,College graduate+,0.31252377623184197
112238.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.087684332290775
112371.0,A lot,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,0.2559718690875267
112495.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2071585362363679
112517.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.28251322956727914
112613.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.4280546019381889
112715.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.21086097924021313
112984.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.5161741860873796
112987.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.2894571578606051
113248.0,Not much,Came about naturally,Dem/Lean Dem,Conservative,50-64,College graduate+,0.3551661769493011
113274.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.8395843375873243
113412.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,65+,Some College,1.1910849790118874
113565.0,Some,Came about naturally,Dem/Lean Dem,Conservative,50-64,Some College,0.8954063193997979
114190.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.35631151696197294
114473.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.5626525845257144
114671.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.2559752922890272
114797.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,College graduate+,0.28681393797046795
114898.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.49055018860334315
115295.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,Some College,1.0599825082336976
115546.0,Some,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,1.3054245667601012
115568.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.36364165075548666
115650.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.23102791415822446
115807.0,None at all,Not sure,Rep/Lean Rep,Conservative,65+,Some College,0.884522665575274
115973.0,Some,Not sure,Dem/Lean Dem,Very liberal,65+,College graduate+,0.35631151696197294
116151.0,Some,Was made accidentally in a lab,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,1.2109932224284354
116182.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.0382563102063362
116264.0,Some,Not sure,Rep/Lean Rep,Moderate,50-64,College graduate+,0.9497353479147848
116439.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3192763252864371
116591.0,Not much,Not sure,Rep/Lean Rep,Very conservative,65+,Some College,1.1910849790118874
116617.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.22609697056393155
116861.0,Some,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.317264943657635
116998.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,1.046294796384659
117214.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,1.2332079407391399
117395.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.31700773711954594
118060.0,None at all,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.7146041181199958
118110.0,Not much,Not sure,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.114896958342298
118414.0,A lot,Came about naturally,Rep/Lean Rep,Very conservative,65+,H.S. graduate or less,2.926795385556735
118847.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.6413499780877429
118888.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.731697566812459
119121.0,Not much,Not sure,Dem/Lean Dem,Liberal,50-64,Some College,0.5243895491899507
119128.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.317264943657635
119392.0,None at all,Not sure,Rep/Lean Rep,Moderate,18-29,H.S. graduate or less,7.487621221765812
119548.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,1.2142269986277925
119714.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.3216357798181609
120118.0,Some,Came about naturally,Rep/Lean Rep,Conservative,30-49,Some College,0.6281505557403889
120343.0,None at all,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,Some College,1.6230562611081913
120521.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.20313757190989004
120873.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27090170480401554
121158.0,Not much,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.4280546019381889
121582.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,1.8759621530559354
121882.0,Not much,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2559752922890272
122020.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.23078620749798037
122033.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,Some College,0.3664627353145702
122234.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.8287624205320122
122466.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,0.28718500597209207
122503.0,A lot,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.07844521463098372
123191.0,A lot,Not sure,Dem/Lean Dem,Liberal,65+,College graduate+,0.3547698801388691
123308.0,Not much,Not sure,Dem/Lean Dem,Liberal,65+,College graduate+,1.250157885622498
123778.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,Some College,0.44661595831531015
124032.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,1.2233230930744419
124264.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.33783037643980934
124561.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4118632994549787
124598.0,A lot,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.4678696184840074
125280.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,College graduate+,1.1881345080123378
125444.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,30-49,College graduate+,0.42504150349963726
125496.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.2326032419849029
125634.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.2894571578606051
125976.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.16658774135557186
126131.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.22748396859865705
126190.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2911490457684703
126211.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,H.S. graduate or less,2.2666759986802476
126380.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.41844765124830724
126570.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,H.S. graduate or less,2.0504723917299423
127160.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,College graduate+,0.890372325136686
127284.0,None at all,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,Some College,0.8728240632307182
127498.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.6616485155184761
128285.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.7201335047863648
128558.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,5.0982429923302695
129015.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.28067968514975083
129046.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.6665541827663765
129189.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,College graduate+,0.4280546019381889
129740.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.27472252543231557
130022.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.24445445253421863
130287.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.5803723633964334
130571.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.3109262689363723
130781.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27472252543231557
130889.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.731697566812459
131599.0,A lot,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.322261998860181
131786.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.6072777313470379
132146.0,Some,Came about naturally,Rep/Lean Rep,Moderate,30-49,Some College,0.6324314438059461
132240.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.40425405977070034
132246.0,A lot,Was developed intentionally in a lab,DK/Refused/No lean,Conservative,65+,Some College,0.7819014839104875
132264.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3889894681791227
132478.0,Not much,Was made accidentally in a lab,Dem/Lean Dem,Liberal,65+,Some College,1.1325281643914051
132489.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.62526829337726
132973.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.2567634726831396
133114.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.2228900847276511
133435.0,Not much,Not sure,DK/Refused/No lean,Conservative,65+,H.S. graduate or less,3.4680155651724043
133550.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,1.0098962843464871
133700.0,None at all,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,0.8346181670815003
133889.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.25977479373231127
133978.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.40425405977070034
135146.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.2547848262475639
135179.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.21076401771962838
135293.0,Some,Came about naturally,Rep/Lean Rep,Moderate,50-64,College graduate+,0.92742101031085
135317.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.16952634911363323
135459.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.16658774135557186
135706.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.35631151696197294
135751.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.46454444474580187
135822.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,30-49,H.S. graduate or less,1.2051646930875668
136015.0,None at all,Refused,Rep/Lean Rep,Conservative,65+,College graduate+,0.4382791325939977
136046.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.27472252543231557
136316.0,Not much,Not sure,Rep/Lean Rep,Moderate,65+,Some College,1.0039170545609695
136411.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Moderate,50-64,College graduate+,0.5052504561221298
136999.0,Not much,Not sure,Rep/Lean Rep,Moderate,50-64,Some College,0.4016104922175272
137139.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.25977479373231127
138105.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,Some College,0.44648451659989813
139467.0,Not much,Not sure,Rep/Lean Rep,Conservative,65+,Some College,0.4550438158965828
139905.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3288780256279453
140200.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,Some College,0.36934720700493145
140204.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.38920217152115405
140444.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.18930857569764087
140544.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.3547698801388691
140639.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.49712288330504906
141319.0,None at all,Not sure,Dem/Lean Dem,Very liberal,30-49,H.S. graduate or less,4.871524494492985
141471.0,Not much,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.47289741162903826
141804.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.17178106716720398
141878.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.5133480775464817
142360.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.40224114742049477
142398.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.4094636195140061
142447.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5807799711833336
142838.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.31700773711954594
143122.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,Some College,0.8409321022513915
143915.0,None at all,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,1.5249941457586995
144036.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,2.3790982554463516
144429.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,1.0356267595331767
144736.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.4094636195140061
145364.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,Some College,0.8467593420033126
145447.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.37995031658406214
145887.0,None at all,Was developed intentionally in a lab,DK/Refused/No lean,Conservative,65+,College graduate+,0.38967397452256164
146062.0,Some,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.44732242553576856
146434.0,Some,Came about naturally,Rep/Lean Rep,Refused,65+,H.S. graduate or less,2.5261792149779696
146637.0,A lot,Not sure,Dem/Lean Dem,Very liberal,50-64,Some College,0.9281094596989943
146784.0,Some,Came about naturally,Rep/Lean Rep,Very conservative,50-64,Some College,1.0395451444270543
147316.0,Some,Was developed intentionally in a lab,Dem/Lean Dem,Conservative,30-49,College graduate+,0.2455127281353521
147654.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,50-64,College graduate+,0.311355227513849
147763.0,A lot,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.5496247060037951
149522.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.16658774135557186
149866.0,Not much,Not sure,Rep/Lean Rep,Conservative,50-64,Some College,1.0299325394221097
150197.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,Some College,0.9673287432164014
150280.0,Some,Not sure,Dem/Lean Dem,Moderate,30-49,H.S. graduate or less,0.8081004590926596
150381.0,Some,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.2326032419849029
150788.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,50-64,College graduate+,0.2601583936831742
151130.0,Not much,Was developed intentionally in a lab,DK/Refused/No lean,Moderate,65+,College graduate+,0.5266170804726134
151972.0,None at all,Came about naturally,Rep/Lean Rep,Very conservative,65+,College graduate+,0.2547848262475639
152324.0,Not much,Refused,Rep/Lean Rep,Moderate,50-64,College graduate+,0.3590266223903537
152538.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.27472252543231557
152916.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.6567529151301014
153346.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.3494595227274385
153391.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.1725148900178126
154072.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,1.1388841552166906
154578.0,Not much,Came about naturally,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,3.1955757397945206
154750.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,1.1992134424524958
154874.0,Some,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.712691096436868
154948.0,Some,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.37995031658406214
155329.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,College graduate+,0.7247346499381029
155464.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,H.S. graduate or less,1.1712552701102796
155606.0,None at all,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.24960377457431507
155832.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,50-64,College graduate+,0.6323267760894709
155900.0,Some,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.3889894681791227
156200.0,Some,Came about naturally,Dem/Lean Dem,Liberal,30-49,College graduate+,0.4498898237124893
156233.0,Some,Was developed intentionally in a lab,DK/Refused/No lean,Conservative,65+,College graduate+,0.7396926017744719
156343.0,Some,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.4118632994549787
156615.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.62526829337726
156660.0,Not much,Was developed intentionally in a lab,Dem/Lean Dem,Moderate,50-64,College graduate+,0.5899957434025324
157570.0,Not much,Was developed intentionally in a lab,DK/Refused/No lean,Moderate,50-64,Some College,0.8728240632307182
157730.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,College graduate+,0.5489368406746538
157877.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.28718500597209207
158144.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.38187460089378295
158193.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.35842635084045804
159216.0,Some,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,0.5046752744340405
159562.0,A lot,Was made accidentally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.24960377457431507
159674.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.31700773711954594
159828.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,Some College,0.501097021579651
159997.0,Not much,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.5042469656148796
160100.0,None at all,Came about naturally,Dem/Lean Dem,Liberal,65+,H.S. graduate or less,3.59417867508855
160170.0,Some,Came about naturally,Rep/Lean Rep,Moderate,65+,Some College,0.34401409466837796
160193.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,Some College,0.8026363947441462
161130.0,Not much,Came about naturally,Rep/Lean Rep,Very liberal,50-64,Some College,0.5466726303848976
161820.0,Some,Not sure,Rep/Lean Rep,Liberal,30-49,College graduate+,1.1720302000931735
162119.0,Some,Not sure,Rep/Lean Rep,Very conservative,65+,College graduate+,0.4349346216352827
162517.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.46454444474580187
164283.0,Not much,Came about naturally,Dem/Lean Dem,Liberal,65+,College graduate+,0.27472252543231557
164425.0,None at all,Not sure,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,0.7465017007355208
165452.0,Not much,Not sure,Dem/Lean Dem,Liberal,65+,Some College,2.9653890935270186
165729.0,A lot,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.7247346499381029
166301.0,None at all,Came about naturally,Dem/Lean Dem,Very liberal,50-64,Some College,0.7402988149951114
167094.0,A lot,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,College graduate+,0.3147847981571407
167110.0,Some,Not sure,Rep/Lean Rep,Moderate,65+,H.S. graduate or less,2.5992691812131903
168336.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,30-49,College graduate+,1.085842622648652
169135.0,Some,Not sure,Rep/Lean Rep,Conservative,50-64,College graduate+,0.35624239794293705
169249.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,65+,Some College,0.7920905959343165
169864.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,65+,College graduate+,0.6556272442174347
170940.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Very conservative,65+,Some College,2.1494071892644713
171076.0,Not much,Came about naturally,Dem/Lean Dem,Moderate,50-64,College graduate+,0.44705401190499194
171099.0,Not much,Came about naturally,Dem/Lean Dem,Very liberal,65+,College graduate+,0.4415814611290617
171264.0,None at all,Came about naturally,Dem/Lean Dem,Conservative,65+,Some College,1.4723583776783353
172231.0,Some,Not sure,Rep/Lean Rep,Conservative,65+,College graduate+,0.4280546019381889
174032.0,Some,Was developed intentionally in a lab,Rep/Lean Rep,Conservative,50-64,H.S. graduate or less,2.6160887910586395
175192.0,Some,Not sure,Rep/Lean Rep,Very conservative,50-64,Some College,0.38424198482774236
175363.0,Some,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,1.32120553603794
175884.0,Not much,Not sure,Dem/Lean Dem,Very liberal,65+,College graduate+,0.4118632994549787
176214.0,Some,Not sure,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,1.5177526977870623
176308.0,A lot,Came about naturally,Rep/Lean Rep,Moderate,50-64,H.S. graduate or less,2.0504723917299423
176680.0,Not much,Came about naturally,Rep/Lean Rep,Very conservative,50-64,Some College,0.8641334764779848
176824.0,A lot,Came about naturally,Rep/Lean Rep,Conservative,65+,Some College,0.37830171774990956
176868.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,College graduate+,0.3889894681791227
176890.0,None at all,Came about naturally,Rep/Lean Rep,Conservative,50-64,College graduate+,0.25324416642659153
176940.0,None at all,Came about naturally,Dem/Lean Dem,Moderate,65+,H.S. graduate or less,2.227363980183724
